ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
282,7.79,26.7,72.7,560.4,50.6,45.9,6.38,30.1,315.0,5.34,PROBLEMATICO
283,8.9,32.2,143.3,393.8,109.2,7.1,2.94,31.8,2068.0,4.05,PROBLEMATICO
284,5.51,28.2,,348.1,154.1,34.4,,18.9,,0.37,GRAVE
285,9.56,27.6,328.0,218.1,129.9,44.8,4.38,,938.0,6.66,GRAVE
286,4.66,28.6,113.3,114.7,111.8,14.1,7.2,55.6,,6.91,GRAVE
287,6.82,,175.6,104.6,82.5,19.7,5.38,58.3,1567.0,5.87,PROBLEMATICO
288,7.71,27.0,54.8,133.5,174.4,25.4,2.65,15.9,855.0,7.29,TRATABLE
289,7.34,24.1,,200.5,3.6,17.7,3.96,16.8,1946.0,4.24,TRATABLE
290,6.25,23.2,,244.0,220.2,25.2,4.03,17.3,2512.0,5.39,PROBLEMATICO
291,6.75,22.0,34.1,368.1,,,2.61,17.1,2345.0,3.1,TRATABLE
292,,,157.4,299.2,346.7,19.9,6.66,7.7,1377.0,2.75,GRAVE
293,6.29,22.6,213.2,458.7,108.5,19.8,11.53,17.2,796.0,1.9,PROBLEMATICO
294,8.02,26.1,151.0,193.9,92.0,26.8,4.35,3.8,778.0,5.19,PROBLEMATICO
295,7.43,27.5,99.6,296.3,,14.8,6.15,21.8,941.0,4.68,PROBLEMATICO
296,,25.6,63.2,311.9,93.0,15.7,,25.7,604.0,6.7,PROBLEMATICO
297,8.08,15.2,220.2,,200.7,5.8,3.83,24.5,1491.0,1.02,PROBLEMATICO
298,7.37,,306.4,480.7,135.8,21.2,5.47,32.8,1041.0,5.03,GRAVE
299,,32.4,132.2,394.7,238.7,30.1,5.32,23.4,1189.0,7.95,PROBLEMATICO
300,7.76,29.2,204.5,12.5,186.4,17.2,,29.2,984.0,4.74,PROBLEMATICO
301,6.01,36.5,,229.4,143.1,,1.37,,1516.0,6.3,PROBLEMATICO
302,6.33,,,247.5,177.3,20.3,5.28,7.0,1379.0,9.19,PROBLEMATICO
303,7.9,36.4,15.2,637.3,259.6,,8.94,12.4,953.0,7.23,GRAVE
304,7.73,22.2,76.1,190.6,,,2.89,8.6,1096.0,1.65,PROBLEMATICO
305,6.97,28.2,155.6,,168.1,62.1,3.01,,1095.0,,PROBLEMATICO
306,7.14,20.6,229.1,328.9,182.3,,10.92,9.6,1670.0,5.22,PROBLEMATICO
307,8.53,,46.4,339.5,24.7,19.3,6.69,30.0,655.0,4.37,PROBLEMATICO
308,6.29,28.9,,,397.2,36.0,0.36,28.1,874.0,7.13,PROBLEMATICO
309,,26.2,75.2,210.4,192.8,9.5,1.86,15.5,130.0,4.46,TRATABLE
310,6.76,30.6,210.9,420.8,202.8,56.7,10.54,45.9,447.0,4.36,PROBLEMATICO
311,6.74,,22.6,96.4,137.1,22.1,2.01,30.2,1035.0,6.67,TRATABLE
312,8.32,24.4,,188.6,89.8,32.1,2.4,19.1,894.0,1.68,PROBLEMATICO
313,7.99,24.2,134.0,,113.5,22.3,6.01,9.9,174.0,5.48,PROBLEMATICO
314,7.98,31.1,,446.9,147.6,40.3,3.21,,1568.0,3.24,PROBLEMATICO
315,8.57,23.7,173.5,301.4,57.7,2.9,5.33,42.1,584.0,6.05,PROBLEMATICO
316,,31.6,9.4,58.3,56.8,50.3,4.86,,66.0,3.77,TRATABLE
317,7.82,33.1,90.8,76.4,106.1,26.2,3.56,35.3,1455.0,5.53,PROBLEMATICO
318,6.63,18.7,227.6,587.2,,33.9,7.63,12.6,1784.0,3.41,GRAVE
319,7.39,32.7,12.6,445.0,265.6,8.7,0.17,38.5,,0.54,GRAVE
320,6.84,37.3,252.9,,157.1,28.1,4.35,,1678.0,5.22,PROBLEMATICO
321,7.12,28.3,23.9,252.2,83.3,4.6,,7.2,1049.0,1.9,PROBLEMATICO
322,7.71,30.0,196.4,521.5,103.8,43.2,8.93,33.2,1021.0,7.49,GRAVE
323,6.02,32.2,86.4,51.4,,1.2,3.48,1.5,416.0,5.63,TRATABLE
324,9.51,25.6,17.0,,161.8,24.8,9.77,14.3,,5.95,PROBLEMATICO
325,5.79,27.9,,170.2,183.5,15.0,2.73,16.9,1136.0,3.93,PROBLEMATICO
326,,20.4,169.0,,96.1,6.1,4.33,36.2,2777.0,4.46,GRAVE
327,8.39,27.7,119.4,380.6,192.9,5.2,7.26,3.4,1565.0,0.0,PROBLEMATICO
328,7.95,29.5,220.7,224.2,185.0,30.1,1.13,,1198.0,5.29,PROBLEMATICO
329,7.75,29.6,249.2,171.8,100.5,5.9,,1.6,2027.0,,PROBLEMATICO
330,7.75,32.3,13.5,160.9,31.9,10.0,4.08,26.2,1820.0,5.13,TRATABLE
331,6.99,23.1,6.9,107.5,51.5,28.7,5.23,33.2,182.0,2.31,PROBLEMATICO
332,5.92,,2.6,387.4,296.8,38.5,5.64,26.0,1663.0,5.73,GRAVE
333,7.09,36.5,39.1,68.8,29.4,33.9,3.77,5.8,1268.0,4.86,TRATABLE
334,6.19,26.2,219.4,584.5,271.8,21.2,1.57,24.4,710.0,1.87,GRAVE
335,,28.0,170.4,198.2,32.9,25.9,4.28,7.1,476.0,,TRATABLE
336,6.82,26.7,70.9,485.7,62.7,24.1,2.03,48.5,,4.11,TRATABLE
337,6.01,22.9,119.0,75.6,102.5,,,15.9,1193.0,2.74,PROBLEMATICO
338,6.61,35.1,246.4,381.7,318.2,27.0,3.58,0.4,2004.0,6.57,PROBLEMATICO
339,7.5,24.4,291.7,427.9,142.6,3.2,8.64,,376.0,3.4,PROBLEMATICO
340,6.32,21.4,143.3,484.6,118.6,33.1,8.55,18.0,319.0,4.16,PROBLEMATICO
341,6.01,24.7,119.3,25.0,46.5,,6.94,27.7,,7.56,PROBLEMATICO
342,7.29,17.0,146.8,,192.2,17.0,0.62,,1103.0,5.3,TRATABLE
343,7.29,23.7,204.1,353.8,88.7,39.6,4.9,2.5,1277.0,5.74,PROBLEMATICO
344,6.39,22.2,140.2,276.7,117.1,12.6,1.42,23.7,879.0,4.28,PROBLEMATICO
345,6.43,30.1,,302.8,104.2,11.1,3.8,,1374.0,3.17,PROBLEMATICO
346,7.28,23.6,152.1,185.1,212.0,39.2,6.86,73.9,87.0,3.84,GRAVE
347,5.26,,8.9,529.1,216.2,19.1,5.97,39.8,2668.0,0.0,GRAVE
348,5.31,34.0,40.2,719.5,51.0,32.8,7.85,2.6,1492.0,5.84,GRAVE
349,6.14,30.9,91.1,268.7,77.3,10.2,0.23,46.9,,5.68,PROBLEMATICO
350,,25.9,215.9,331.6,67.4,36.5,0.93,25.4,454.0,1.53,PROBLEMATICO
351,7.37,27.7,51.1,260.1,158.3,25.5,8.52,,788.0,5.26,PROBLEMATICO
352,8.77,19.4,161.0,481.1,230.7,29.3,,23.4,1558.0,0.0,GRAVE
353,8.03,26.3,,399.2,159.7,18.8,3.95,,955.0,8.77,PROBLEMATICO
354,6.81,22.7,262.8,,,51.3,3.93,34.5,1388.0,3.36,PROBLEMATICO
355,6.98,30.5,116.2,139.7,216.0,55.7,,24.9,654.0,3.47,PROBLEMATICO
356,5.8,39.9,37.9,68.3,5.1,17.7,5.6,7.1,263.0,,PROBLEMATICO
357,6.98,29.5,178.2,735.1,,38.7,,7.1,,5.43,PROBLEMATICO
358,6.65,17.0,312.4,364.4,159.8,2.6,1.23,2.1,573.0,1.44,GRAVE
359,7.39,25.2,184.1,142.8,131.6,,7.45,13.7,1837.0,4.59,PROBLEMATICO
360,6.01,27.6,49.1,128.4,227.3,10.0,3.4,34.9,613.0,5.35,TRATABLE
361,7.62,27.4,22.6,394.9,78.9,29.3,0.18,25.5,1089.0,2.83,PROBLEMATICO
362,8.84,,34.2,412.9,43.3,,1.66,1.0,929.0,6.08,TRATABLE
363,6.87,28.2,300.3,393.7,108.8,13.7,,32.4,1053.0,1.95,GRAVE
364,7.48,20.8,90.5,173.4,237.7,14.2,,6.2,1731.0,5.7,PROBLEMATICO
365,7.83,22.3,60.4,305.1,,8.8,,21.0,2342.0,1.51,PROBLEMATICO
366,6.52,30.2,105.7,270.0,,9.3,5.15,40.1,1066.0,3.65,PROBLEMATICO
367,7.27,21.9,91.5,81.5,272.6,14.8,2.33,6.2,1285.0,,PROBLEMATICO
368,7.02,29.7,,83.2,254.5,19.2,,18.1,1011.0,6.1,GRAVE
369,7.12,20.2,28.7,324.2,,27.8,,2.4,1261.0,7.0,TRATABLE
370,6.07,,226.3,,22.2,55.5,5.17,44.3,697.0,7.91,PROBLEMATICO
371,7.03,23.1,131.0,349.6,218.3,5.0,5.17,55.5,475.0,3.67,GRAVE
372,7.6,25.9,228.6,392.4,,24.3,,25.0,1427.0,2.95,GRAVE
373,8.74,28.7,262.4,519.9,100.5,35.9,5.0,30.8,1356.0,6.53,GRAVE
374,8.15,24.2,127.6,110.3,71.7,9.2,9.74,39.6,,4.62,PROBLEMATICO
375,9.58,,91.6,363.4,122.8,18.6,4.63,28.8,1235.0,,PROBLEMATICO
376,,29.9,126.0,384.9,77.4,12.4,10.75,0.2,1167.0,3.2,PROBLEMATICO
377,8.05,,111.5,193.8,157.0,18.0,5.91,7.0,1562.0,4.56,PROBLEMATICO
378,,,,271.9,122.7,49.7,4.82,6.9,1889.0,6.94,PROBLEMATICO
379,,26.1,259.7,198.4,,33.1,6.67,16.2,,2.39,GRAVE
380,6.03,,142.1,629.5,195.3,35.6,4.59,32.6,603.0,7.14,GRAVE
381,5.99,38.7,15.3,268.9,110.6,39.7,5.35,7.5,465.0,4.14,PROBLEMATICO
382,,31.7,66.1,331.3,66.3,11.6,,29.9,1949.0,6.93,PROBLEMATICO
383,4.45,,89.5,,60.6,,4.74,,2394.0,4.09,PROBLEMATICO
384,6.37,27.5,189.3,163.7,,28.0,10.36,11.0,2133.0,6.18,PROBLEMATICO
385,6.09,25.3,64.3,15.6,147.9,20.7,,,893.0,2.84,PROBLEMATICO
386,7.18,26.3,79.1,448.0,122.4,,4.98,,970.0,5.35,PROBLEMATICO
387,7.41,20.9,163.9,388.3,,34.0,7.78,30.7,1718.0,,GRAVE
388,9.25,24.9,73.6,,11.1,46.0,7.6,12.9,1620.0,,GRAVE
389,8.14,,,87.9,145.6,47.1,7.28,,540.0,7.77,PROBLEMATICO
390,6.31,29.9,128.6,282.4,43.6,15.6,5.64,6.2,1230.0,1.59,PROBLEMATICO
391,5.92,14.5,,160.4,205.6,25.4,5.99,26.5,1162.0,,PROBLEMATICO
392,7.59,33.1,21.5,210.0,82.6,5.6,,13.5,393.0,3.51,TRATABLE
393,5.42,32.4,46.2,22.6,220.4,7.3,1.84,1.7,782.0,6.04,PROBLEMATICO
394,9.2,25.2,174.2,289.1,216.3,37.1,3.8,29.0,1385.0,5.35,GRAVE
395,8.42,,58.6,292.7,47.7,39.2,0.41,,,3.81,PROBLEMATICO
396,6.44,,228.5,447.1,146.6,13.7,5.73,11.8,1852.0,2.73,PROBLEMATICO
397,4.94,24.6,331.2,222.9,49.8,9.1,5.29,4.9,2432.0,4.01,GRAVE
398,8.62,34.5,179.1,190.0,182.8,23.0,6.1,,1862.0,3.54,PROBLEMATICO
399,6.86,25.6,254.4,30.2,222.0,24.7,1.68,22.2,1513.0,5.24,PROBLEMATICO
400,8.49,17.7,184.9,448.2,39.5,58.8,6.89,6.5,1096.0,4.67,PROBLEMATICO
401,5.09,26.7,71.9,410.7,10.3,10.7,5.41,16.4,1757.0,2.91,PROBLEMATICO
402,6.28,26.6,138.0,255.2,249.6,,10.7,7.7,764.0,2.05,PROBLEMATICO
403,7.01,33.0,301.2,10.7,334.1,33.7,6.42,24.1,817.0,3.67,GRAVE
404,7.06,27.1,72.9,31.4,189.4,15.7,2.21,25.5,338.0,4.34,TRATABLE
405,6.46,24.9,26.5,151.5,196.8,12.9,0.05,5.2,115.0,2.99,PROBLEMATICO
406,7.75,32.2,17.9,423.7,106.8,11.4,4.65,27.0,2096.0,5.26,PROBLEMATICO
407,5.72,27.6,100.4,302.3,158.0,26.2,0.91,23.2,1389.0,4.06,PROBLEMATICO
408,6.83,23.2,29.7,18.8,175.1,18.8,1.8,11.6,1572.0,6.47,TRATABLE
409,,32.8,270.7,322.8,121.7,34.3,1.1,7.3,1111.0,5.25,PROBLEMATICO
410,7.62,28.0,139.5,99.0,275.0,28.4,2.26,7.4,2523.0,5.69,PROBLEMATICO
411,7.85,,207.5,156.0,157.7,30.5,8.37,11.9,2431.0,3.36,PROBLEMATICO
412,5.65,27.9,93.1,424.9,170.6,9.5,1.1,1.8,1188.0,7.07,PROBLEMATICO
413,5.16,21.6,17.4,387.8,123.8,13.0,2.73,2.7,1180.0,5.01,PROBLEMATICO
414,8.53,24.4,2.2,446.8,134.0,,0.29,18.7,,7.13,PROBLEMATICO
415,7.4,27.0,38.3,245.8,261.9,10.3,1.12,4.7,420.0,6.25,PROBLEMATICO
416,6.1,26.0,151.3,408.9,154.6,28.7,3.16,30.8,913.0,4.09,PROBLEMATICO
417,8.86,33.4,166.8,144.5,156.9,32.8,4.62,12.6,979.0,3.29,PROBLEMATICO
418,7.14,,174.3,203.6,158.2,31.7,0.55,,352.0,4.7,PROBLEMATICO
419,8.42,31.3,14.0,191.3,103.5,12.1,0.56,21.0,,3.93,PROBLEMATICO
420,7.08,27.0,120.0,254.3,0.8,1.3,1.61,7.7,1155.0,3.09,TRATABLE
421,,,,18.4,297.3,1.6,4.44,1.0,1783.0,,GRAVE
422,9.11,29.0,156.1,209.5,246.8,75.5,6.8,8.9,,8.35,GRAVE
423,6.7,,163.1,511.3,264.9,30.2,0.28,21.8,2425.0,,GRAVE
424,8.17,26.9,14.5,53.3,32.7,55.1,2.06,20.5,1003.0,0.65,PROBLEMATICO
425,7.77,22.2,207.1,,284.5,7.0,7.25,,607.0,5.27,PROBLEMATICO
426,8.64,29.5,330.5,25.2,336.7,44.5,3.36,6.5,203.0,3.06,GRAVE
427,5.84,26.8,195.1,729.1,244.5,13.4,3.7,26.7,1268.0,3.9,GRAVE
428,7.82,24.5,105.3,333.7,304.8,21.5,5.14,37.7,207.0,1.76,GRAVE
429,8.27,32.5,91.5,201.4,219.8,16.8,2.67,20.8,675.0,5.31,PROBLEMATICO
430,4.89,20.7,101.2,262.3,55.3,6.2,1.67,19.1,1231.0,5.07,PROBLEMATICO
431,5.58,24.9,51.5,291.0,190.8,6.4,,10.4,222.0,6.4,PROBLEMATICO
432,4.55,32.1,142.7,134.7,38.0,21.3,0.14,21.3,834.0,,PROBLEMATICO
433,6.68,28.6,17.5,156.9,80.3,11.4,0.84,11.9,1217.0,3.92,TRATABLE
434,7.86,26.8,50.1,221.6,171.6,24.3,1.92,18.4,348.0,1.28,PROBLEMATICO
435,8.8,28.3,139.8,119.5,158.2,6.9,6.14,0.4,1656.0,2.91,PROBLEMATICO
436,7.09,27.9,121.9,178.6,186.3,34.7,7.49,4.3,1859.0,2.8,PROBLEMATICO
437,8.95,19.4,68.6,,39.2,13.7,2.58,41.2,493.0,,PROBLEMATICO
438,5.34,25.3,4.6,70.5,124.6,51.5,6.49,27.7,1060.0,7.09,PROBLEMATICO
439,4.96,35.1,146.1,719.8,194.9,21.1,8.15,9.8,1113.0,7.28,GRAVE
440,,23.7,30.9,385.6,214.8,20.2,4.11,19.1,1443.0,3.47,TRATABLE
441,7.46,25.4,107.5,21.4,221.4,50.9,5.91,17.6,,6.12,PROBLEMATICO
442,6.96,24.3,278.8,196.0,,13.1,9.6,16.4,694.0,5.02,PROBLEMATICO
443,4.52,26.6,178.6,126.2,102.1,14.7,1.89,47.9,460.0,3.33,PROBLEMATICO
444,6.89,24.1,3.2,,190.1,,3.28,40.4,1786.0,4.69,PROBLEMATICO
445,5.43,29.4,5.3,338.3,110.0,25.7,8.8,,795.0,0.57,GRAVE
446,7.8,,133.7,230.0,230.1,8.8,1.18,21.0,656.0,1.36,PROBLEMATICO
447,7.44,30.9,3.8,141.7,182.7,36.0,4.47,8.9,1933.0,5.35,TRATABLE
448,5.87,21.7,60.2,87.3,133.8,21.2,2.12,7.3,1301.0,6.38,PROBLEMATICO
449,6.38,25.3,167.9,177.5,63.1,37.1,8.09,2.9,484.0,6.31,PROBLEMATICO
450,5.73,25.9,148.9,67.8,251.9,35.1,0.45,33.3,1063.0,2.39,GRAVE
451,6.92,,160.6,178.2,195.9,12.8,3.8,7.9,521.0,6.26,TRATABLE
452,8.15,,143.7,489.6,350.3,8.7,0.86,11.8,374.0,5.82,PROBLEMATICO
453,5.82,31.6,114.1,,192.6,16.1,0.4,9.9,818.0,5.42,PROBLEMATICO
454,7.6,32.9,60.4,360.0,201.0,,1.69,13.2,1057.0,4.22,TRATABLE
455,6.36,22.1,166.5,387.4,6.5,28.0,3.51,4.1,768.0,,TRATABLE
456,6.05,24.5,257.7,55.7,171.0,30.0,5.45,27.0,1579.0,5.97,PROBLEMATICO
457,6.87,24.3,74.9,98.2,108.3,21.4,4.05,10.6,1656.0,6.09,TRATABLE
458,5.76,40.2,28.1,442.4,222.6,,4.7,,704.0,4.08,PROBLEMATICO
459,6.34,24.9,17.8,83.4,173.5,11.4,2.7,2.2,1077.0,5.36,TRATABLE
460,5.56,35.4,42.0,239.7,238.5,31.3,6.95,17.4,870.0,5.43,PROBLEMATICO
461,9.36,20.7,138.2,617.2,353.3,10.3,6.18,15.9,507.0,4.29,GRAVE
462,7.04,22.1,72.6,,60.2,32.1,4.38,5.1,1310.0,3.11,TRATABLE
463,6.16,23.6,159.5,265.3,234.7,32.7,4.62,9.3,116.0,4.64,PROBLEMATICO
464,7.26,22.8,178.0,401.3,208.4,49.6,2.6,6.1,529.0,6.23,PROBLEMATICO
465,6.87,25.7,41.8,239.9,,13.3,9.84,24.2,386.0,2.77,GRAVE
466,6.73,23.5,31.9,433.3,210.5,16.1,6.42,14.3,,6.82,PROBLEMATICO
467,7.74,22.9,,118.3,200.1,19.6,3.69,13.0,440.0,3.03,TRATABLE
468,,32.8,107.1,224.9,225.1,5.0,3.48,1.0,69.0,8.14,PROBLEMATICO
469,6.36,33.1,166.8,125.5,232.1,4.8,2.83,20.8,996.0,6.1,PROBLEMATICO
470,6.31,31.7,107.3,279.0,,31.1,3.1,10.7,940.0,3.62,PROBLEMATICO
471,6.67,29.6,233.8,207.5,58.1,54.5,4.74,,1193.0,,PROBLEMATICO
472,4.24,27.5,91.1,494.9,100.8,32.5,1.12,0.6,1365.0,3.4,PROBLEMATICO
473,5.18,24.5,31.5,378.1,313.5,39.8,3.25,7.6,1484.0,,GRAVE
474,8.64,22.2,24.3,155.3,55.9,9.2,3.61,17.9,637.0,3.84,TRATABLE
475,8.97,28.8,186.2,176.9,131.5,0.4,3.98,14.3,1243.0,3.16,TRATABLE
476,,21.1,122.7,318.5,,17.6,4.52,33.9,1017.0,4.57,PROBLEMATICO
477,7.69,22.0,177.0,146.9,122.3,10.8,4.1,26.5,1125.0,4.32,PROBLEMATICO
478,7.37,32.8,175.2,244.2,298.1,6.5,5.22,40.0,880.0,2.92,GRAVE
479,10.69,36.5,61.8,487.0,187.6,25.9,3.6,14.1,638.0,6.61,PROBLEMATICO
480,8.34,29.0,,100.8,101.3,0.7,6.96,29.2,1028.0,6.75,PROBLEMATICO
481,6.85,32.5,28.1,,76.6,36.9,,2.7,867.0,4.53,TRATABLE
482,5.85,25.8,46.6,194.7,168.2,14.8,10.74,23.0,1410.0,6.39,PROBLEMATICO
483,5.07,20.3,82.2,818.5,256.6,21.2,6.11,10.6,1862.0,5.78,GRAVE
484,7.24,30.1,209.9,359.5,153.8,23.8,1.76,2.6,542.0,3.3,PROBLEMATICO
485,6.09,29.8,227.9,,126.6,13.6,3.53,36.1,824.0,5.37,PROBLEMATICO
486,5.29,27.4,,388.3,70.5,,2.48,15.2,2823.0,2.74,GRAVE
487,,25.8,97.4,,177.4,6.9,4.02,47.6,75.0,2.62,PROBLEMATICO
488,5.7,31.8,56.5,335.2,171.9,45.1,7.29,26.4,73.0,5.72,GRAVE
489,9.02,22.1,128.0,315.7,67.6,15.8,3.03,18.0,,5.53,PROBLEMATICO
490,8.06,23.1,138.2,11.1,242.6,38.6,2.29,12.3,2539.0,5.4,PROBLEMATICO
491,6.99,22.0,192.6,314.4,310.6,25.6,5.55,8.3,2217.0,4.78,PROBLEMATICO
492,8.78,27.4,191.9,230.5,144.9,37.3,1.55,23.4,1420.0,1.07,GRAVE
493,7.09,21.6,87.2,348.2,170.2,19.9,,10.1,898.0,1.5,PROBLEMATICO
494,5.97,23.6,106.3,237.2,29.5,,5.15,40.3,,5.25,PROBLEMATICO
495,,23.5,244.6,387.4,213.7,41.8,1.37,16.5,1481.0,5.97,PROBLEMATICO
496,7.65,25.7,80.6,419.2,186.4,23.7,2.55,1.6,1855.0,3.08,TRATABLE
497,5.76,19.6,222.5,274.2,107.4,45.9,6.57,1.5,1576.0,7.89,GRAVE
498,6.77,27.4,92.4,171.9,65.7,28.3,1.5,,210.0,3.22,TRATABLE
499,5.95,33.2,135.7,84.3,324.8,8.8,1.28,,,6.87,GRAVE
500,5.34,27.7,17.7,293.0,178.3,15.6,0.3,47.8,1394.0,1.18,GRAVE
501,8.11,34.7,21.1,195.9,48.2,38.0,4.19,14.1,231.0,2.83,PROBLEMATICO
502,9.29,33.7,185.3,494.0,225.6,0.3,9.69,12.2,133.0,5.19,PROBLEMATICO
503,,30.9,199.4,287.3,163.0,36.3,4.36,22.6,1812.0,3.87,GRAVE
504,7.68,27.4,122.4,162.6,145.9,15.4,1.99,21.5,1380.0,6.15,PROBLEMATICO
505,6.22,,9.5,418.9,237.9,1.2,,5.6,2284.0,,TRATABLE
506,6.42,30.8,123.9,192.7,,25.7,10.6,36.8,1880.0,,PROBLEMATICO
507,6.29,25.0,233.2,160.4,40.7,9.4,5.97,35.4,764.0,3.5,PROBLEMATICO
508,5.96,,276.9,320.9,277.9,11.7,3.61,28.4,1373.0,2.31,GRAVE
509,7.06,29.5,91.5,540.3,127.1,10.7,7.66,47.0,646.0,4.05,GRAVE
510,6.0,21.3,29.4,403.6,97.3,24.1,5.17,28.9,71.0,3.68,PROBLEMATICO
511,7.32,,195.6,352.0,,15.0,2.49,3.2,2037.0,3.16,TRATABLE
512,6.94,27.0,,745.2,159.4,29.0,2.18,16.4,1064.0,2.76,GRAVE
513,6.71,26.5,204.9,118.2,,40.2,2.23,31.9,2143.0,1.63,PROBLEMATICO
514,5.91,19.9,,,,31.8,,3.9,1276.0,7.09,GRAVE
515,6.31,27.8,40.5,276.2,177.2,54.5,7.33,10.1,1395.0,1.53,PROBLEMATICO
516,7.91,31.8,125.2,522.7,109.7,,2.45,13.5,1604.0,4.33,PROBLEMATICO
517,7.6,21.4,237.8,80.5,180.6,,8.06,51.2,1071.0,4.76,PROBLEMATICO
518,5.83,33.4,106.6,565.8,250.9,1.3,1.51,22.3,1034.0,5.22,GRAVE
519,7.12,19.2,26.9,9.0,229.1,16.8,2.2,25.7,1370.0,4.41,TRATABLE
520,7.9,37.6,23.0,,202.1,24.1,2.64,12.2,2072.0,1.63,PROBLEMATICO
521,5.0,,50.5,281.2,167.5,62.1,1.3,,1553.0,,GRAVE
522,7.65,27.7,83.1,,81.9,15.3,,20.6,1212.0,4.39,TRATABLE
523,6.2,17.5,193.8,138.2,36.7,27.0,5.65,17.4,912.0,4.49,TRATABLE
524,7.68,26.7,19.1,393.4,,9.7,7.61,23.2,1117.0,2.1,PROBLEMATICO
525,,28.1,,509.5,179.4,15.8,4.9,2.6,595.0,5.76,GRAVE
526,4.83,26.6,0.3,130.6,189.8,0.1,0.43,16.0,,2.7,PROBLEMATICO
527,,24.2,329.8,282.4,249.4,4.3,2.2,28.5,1034.0,7.85,GRAVE
528,7.06,22.3,275.3,,196.2,46.5,,18.5,1204.0,0.65,GRAVE
529,7.31,32.7,132.7,269.3,245.1,41.2,9.1,18.2,1709.0,5.57,PROBLEMATICO
530,5.91,,28.3,193.0,126.9,15.3,6.96,19.8,410.0,4.78,PROBLEMATICO
531,7.77,34.7,115.0,17.7,,41.1,7.64,30.3,,4.15,PROBLEMATICO
532,5.01,24.4,,527.6,39.9,,1.87,11.4,1499.0,5.74,PROBLEMATICO
533,6.92,24.8,5.3,458.7,134.0,18.9,0.18,24.3,,3.05,PROBLEMATICO
534,5.55,31.1,146.2,231.3,43.1,25.1,5.72,24.6,878.0,3.86,PROBLEMATICO
535,6.22,18.9,45.9,162.1,143.2,44.8,2.62,21.4,1732.0,,PROBLEMATICO
536,7.06,20.9,55.7,,262.5,25.6,,37.5,,7.17,PROBLEMATICO
537,5.97,32.5,101.7,215.4,147.0,31.8,5.24,4.9,212.0,3.42,GRAVE
538,6.54,21.1,68.3,313.7,212.2,13.5,2.81,2.0,1742.0,3.35,TRATABLE
539,8.21,17.9,307.0,390.5,167.3,26.8,7.01,2.5,1262.0,7.11,PROBLEMATICO
540,6.31,36.3,71.8,274.8,83.0,44.8,0.38,37.1,76.0,1.08,PROBLEMATICO
541,8.0,20.0,159.7,234.5,121.3,7.1,,41.5,585.0,7.81,PROBLEMATICO
542,5.64,,133.1,274.0,258.0,42.4,,23.5,1112.0,4.29,GRAVE
543,7.64,27.3,,96.4,211.7,18.2,9.11,6.3,1419.0,6.53,PROBLEMATICO
544,8.73,12.9,158.6,160.1,78.2,3.3,4.4,67.4,1920.0,5.54,PROBLEMATICO
545,4.03,,199.3,220.1,1.3,17.2,7.77,,569.0,0.6,GRAVE
546,6.04,29.2,144.0,375.4,160.7,45.2,7.58,3.3,884.0,,PROBLEMATICO
547,7.69,28.8,140.2,498.2,81.8,13.3,11.01,33.4,1819.0,2.36,PROBLEMATICO
548,6.76,31.5,125.3,208.8,122.3,27.4,4.97,,1931.0,4.01,PROBLEMATICO
549,,25.1,107.5,61.9,5.4,7.0,,52.6,974.0,7.89,PROBLEMATICO
550,6.28,30.6,37.9,256.4,244.1,10.9,6.43,0.2,827.0,3.38,PROBLEMATICO
551,7.1,23.6,114.5,612.1,130.3,2.6,0.6,11.7,1550.0,6.74,PROBLEMATICO
552,6.81,,,77.6,145.5,40.2,4.09,42.6,250.0,2.57,PROBLEMATICO
553,,20.5,156.2,409.5,56.7,21.1,1.25,23.8,,7.44,PROBLEMATICO
554,7.31,19.7,,490.5,,41.8,8.59,9.7,1181.0,4.26,PROBLEMATICO
555,7.41,32.0,99.0,185.2,152.2,42.8,4.51,1.6,872.0,5.38,PROBLEMATICO
556,6.51,19.4,114.9,123.9,78.7,8.4,0.04,5.4,1530.0,4.31,TRATABLE
557,6.41,28.4,70.2,353.5,118.4,50.2,,8.3,1964.0,4.55,PROBLEMATICO
558,6.48,,148.2,313.6,278.6,12.2,7.96,32.5,517.0,1.79,GRAVE
559,,26.5,100.1,375.1,35.0,40.0,,29.1,690.0,3.48,PROBLEMATICO
560,6.49,33.8,136.3,623.3,158.5,39.3,2.66,24.4,1666.0,3.05,GRAVE
561,,24.8,210.1,280.1,61.5,23.2,4.61,,183.0,1.88,PROBLEMATICO
562,9.49,30.1,56.2,35.4,273.6,23.2,1.43,9.8,827.0,4.66,PROBLEMATICO
563,8.05,27.2,173.7,262.0,121.9,27.8,6.13,,2718.0,7.31,PROBLEMATICO
564,,26.2,123.0,293.5,35.3,24.1,9.07,37.7,1332.0,2.72,PROBLEMATICO
565,8.44,38.5,301.9,478.1,118.4,15.0,2.05,21.5,1001.0,,PROBLEMATICO
566,6.51,19.8,100.5,214.6,175.0,,9.53,17.4,7.0,4.22,PROBLEMATICO
567,4.55,,182.6,,417.6,15.1,6.98,1.7,485.0,3.59,GRAVE
568,,30.3,121.4,3.2,71.0,43.9,3.77,31.2,1944.0,3.96,PROBLEMATICO
